number,latency,packet size,segment size,header size,trans speed
0,1.4424324035644531,4549,4400,149,25.229605151735537
1,0.980377197265625,4549,4400,149,37.12040641245136
2,0.9362697601318359,4547,4400,147,38.85205049758085
3,0.7846355438232422,4548,4400,148,46.370573301731994
4,0.8475780487060547,4548,4400,148,42.92702017890295
5,0.9028911590576172,4549,4400,149,40.30607635806707
6,0.888824462890625,4547,4400,147,40.92596628326181
7,0.9512901306152344,4548,4400,148,38.24700670075188
8,0.7255077362060547,4549,4400,149,50.16073321327637
9,0.7808208465576172,4548,4400,148,46.59711656061069
10,0.7529258728027344,4547,4400,147,48.31285696770107
11,1.0187625885009766,4548,4400,148,35.713914518137145
12,0.7970333099365234,4547,4400,147,45.63924687526174
13,0.7834434509277344,4547,4400,147,46.43091975167377
14,0.7860660552978516,4548,4400,148,46.28618645313922
15,0.8151531219482422,4548,4400,148,44.63455885814565
16,0.8873939514160156,4548,4400,148,41.00095559806556
17,0.7839202880859375,4547,4400,147,46.402677099756694
18,0.8275508880615234,4549,4400,149,43.9755434076635
19,0.9391307830810547,4549,4400,149,38.75072636912922
20,0.8783340454101562,4547,4400,147,41.4147671834962
21,0.8447170257568359,4549,4400,149,43.08188291504374
22,0.8289813995361328,4548,4400,148,43.890007689387396
23,0.7901191711425781,4548,4400,148,46.04874976946289
24,0.9748935699462891,4547,4400,147,37.312790976766934
25,0.8213520050048828,4548,4400,148,44.29769426298984
26,0.9615421295166016,4548,4400,148,37.83921565484751
27,0.9360313415527344,4548,4400,148,38.870493310239425
28,0.9438991546630859,4549,4400,149,38.55496619550391
29,1.0170936584472656,4548,4400,148,35.77251681575246
30,0.8196830749511719,4549,4400,149,44.397647227457824
31,0.8168220520019531,4547,4400,147,44.53356751430239
32,0.8656978607177734,4547,4400,147,42.019279070228585
33,0.8838176727294922,4547,4400,147,41.15781017102778
34,0.858306884765625,4547,4400,147,42.381111751111106
35,1.0373592376708984,4547,4400,147,35.06596237738451
36,1.1506080627441406,4549,4400,149,31.628493818483218
37,0.9140968322753906,4549,4400,149,39.811974743870636
38,0.9191036224365234,4549,4400,149,39.59510017328145
39,1.0287761688232422,4548,4400,148,35.36629356570104
40,0.8072853088378906,4547,4400,147,45.05965809332546
41,1.0008811950683594,4548,4400,148,36.35196682610767
42,1.0595321655273438,4547,4400,147,34.332133731773176
43,0.9667873382568359,4549,4400,149,37.64219757533909
44,0.7989406585693359,4547,4400,147,45.53029015338705
45,0.8492469787597656,4548,4400,148,42.84266050982594
46,0.8018016815185547,4549,4400,149,45.38778208980077
47,0.7753372192382812,4549,4400,149,46.93699605412054
48,0.8792877197265625,4547,4400,147,41.369848780911056
49,0.7789134979248047,4548,4400,148,46.71122030486685
50,0.8075237274169922,4547,4400,147,45.04635438559197
51,0.8459091186523438,4548,4400,148,43.01171272153326
52,0.7801055908203125,4548,4400,148,46.63984007823961
53,0.9162425994873047,4548,4400,148,39.71000695706479
54,0.8313655853271484,4548,4400,148,43.76414015944938
55,0.80108642578125,4549,4400,149,45.428306895238094
56,1.035928726196289,4548,4400,148,35.12210741910241
57,0.9317398071289062,4547,4400,147,39.04094224769703
58,0.9438991546630859,4547,4400,147,38.538015232129325
59,0.7839202880859375,4548,4400,148,46.412882218978105
60,0.7953643798828125,4547,4400,147,45.73501268105516
61,0.8845329284667969,4549,4400,149,41.142617565498654
62,0.8180141448974609,4548,4400,148,44.478448480326435
